C,-10.0019165311,2.5665369527,0.2661804401
C,-8.6057361785,2.7560226749,-0.3404898883
H,-9.9987413934,2.7829512393,1.3399375787
H,-10.3708592139,1.5472027218,0.1221350679
H,-10.7266261964,3.2362182912,-0.2100434745
C,-7.5462239301,1.8503140514,0.3488981254
C,-7.8670230969,0.3606629774,0.170352858
H,-8.796883604,0.0857281413,0.6763249255
H,-7.0759590286,-0.2636642867,0.6002088319
H,-7.962067432,0.1010562362,-0.8895393147
C,-8.2398426896,4.243517096,-0.2687934234
H,-8.6644414495,2.4816908842,-1.4022298079
H,-9.0426191646,4.8640817934,-0.6820049001
H,-7.3402101917,4.4614506374,-0.8524263363
H,-8.0660951809,4.5595918958,0.7652510547
C,-6.1275382961,2.11148556,-0.1716492268
H,-7.5468251053,2.0641640186,1.4260235553
H,-5.4158792497,1.3950786594,0.2532712556
H,-5.7775830341,3.1090800267,0.1111118305
H,-6.0833091946,2.0257863023,-1.262515654
