C,-7.1537954742,2.6107627387,-0.1027364761
C,-6.0638421728,1.563679945,-0.3443279425
H,-8.1226673382,2.2568876099,-0.4708212882
H,-6.9201839981,3.5444743151,-0.6251085327
H,-7.2587413462,2.8358817368,0.9642391074
C,-4.7039783614,2.109987195,0.1244715195
C,-3.5418168841,1.1597844991,-0.1259865277
H,-4.7428741295,2.3511848831,1.1938979467
H,-4.4978002408,3.0501112018,-0.4024274663
H,-3.6123343452,0.2675196606,0.5031467193
H,-2.5947832299,1.6550542194,0.1116756418
H,-3.507134396,0.8458405321,-1.1738113327
C,-6.440783474,0.2540241356,0.349182808
H,-6.0119918039,1.3752701954,-1.4243399524
H,-7.4461671616,-0.0663843666,0.0551550344
H,-6.4253166375,0.3626163453,1.4388301106
H,-5.7525872103,-0.5517873714,0.0758679288
